Dominance Rank,Fighter Name,Dominance Score,Win %,KO %,Title Fight Wins,Title Fight Total,Title Fight Win %,Adjusted Title Success,Career Length
1,Naoya Inoue,86.06,100.0,81.8,26,26,100.0,100.0,14
2,Julio Cesar Chavez,84.61,93.04347826086956,74.8,31,35,88.57142857142857,88.57142857142857,25
3,Joe Louis,81.99,95.65217391304348,75.4,27,28,96.42857142857143,96.42857142857143,17
4,Floyd Mayweather,81.99,100.0,54.0,26,26,100.0,100.0,21
5,Terence Crawford,80.43,100.0,73.8,20,20,100.0,100.0,17
6,Saul Alvarez,72.88,92.64705882352942,57.4,24,27,88.88888888888889,88.88888888888889,21
7,Alexis Arguello,72.68,90.58823529411765,72.9,19,22,86.36363636363636,86.36363636363636,27
8,Roy Jones Jr,72.63,86.8421052631579,61.8,25,28,89.28571428571429,89.28571428571429,29
9,Gennadiy Golovkin,72.05,93.33333333333333,82.2,17,19,89.47368421052632,89.47368421052632,16
10,Muhammad Ali,71.17,91.80327868852459,60.7,22,25,88.0,88.0,21
11,Larry Holmes,71.13,92.0,58.7,20,25,80.0,80.0,29
12,Oleksandr Usyk,70.67,100.0,64.0,14,14,100.0,93.33333333333333,13
13,Thomas Hearns,68.23,91.04477611940298,71.6,14,18,77.77777777777779,77.77777777777779,29
